nis,nama,email,kelas,jurusan,namaIndustriPkl
22231001,Aditya Pratama,aditya.pratama@sekolah.sch.id,13 SIJA A,SIJA,PT Telkom Indonesia
22231002,Budi Santoso,budi.santoso@sekolah.sch.id,13 SIJA A,SIJA,Diskominfo Provinsi
22231003,Citra Rahmawati,citra.rahma@sekolah.sch.id,12 RPL A,PPLG,PT Gojek Indonesia
22231004,Dedi Kurniawan,dedi.kurniawan@sekolah.sch.id,12 RPL B,PPLG,PT Tokopedia
22231005,Eka Safitri,eka.safitri@sekolah.sch.id,12 TKJ A,TJKT,PT Astra Graphia
22231006,Fajar Nugraha,fajar.nugraha@sekolah.sch.id,12 TKJ B,TJKT,Lintasarta
22231007,Gita Permata,gita.permata@sekolah.sch.id,12 DPIB A,DPIB,PT Wijaya Karya
22231008,Hendra Gunawan,hendra.gunawan@sekolah.sch.id,12 TITL A,TITL,PT PLN Persero
22231009,Indah Lestari,indah.lestari@sekolah.sch.id,12 TO A,TO,PT Toyota Motor Manufacturing
22231010,Joko Widodo,joko.widodo@sekolah.sch.id,12 TM A,TM,PT Komatsu Indonesia

